,Unnamed: 0_x,wf_zipcode,state_x,county_x,latitude_x,longitude_x,windmills_count_x,pop_density_x,med_household_income_x,zipcode_withno_wf_x,distance_from_wfzipcode_x,Unnamed: 0.1_x,ZipCode_x,StateName_x,2009-01_x,2010-01_x,2011-01_x,2012-01_x,2013-01_x,2014-01_x,2015-01_x,2016-01_x,2017-01_x,2018-01_x,percent_2010_change_x,percent_2011_change_x,percent_2012_change_x,percent_2013_change_x,percent_2014_change_x,percent_2015_change_x,percent_2016_change_x,percent_2017_change_x,percent_2018_change_x,Unnamed: 0_y,state_y,county_y,latitude_y,longitude_y,windmills_count_y,pop_density_y,med_household_income_y,zipcode_withno_wf_y,distance_from_wfzipcode_y,Unnamed: 0.1_y,ZipCode_y,StateName_y,2009-01_y,2010-01_y,2011-01_y,2012-01_y,2013-01_y,2014-01_y,2015-01_y,2016-01_y,2017-01_y,2018-01_y,percent_2010_change_y,percent_2011_change_y,percent_2012_change_y,percent_2013_change_y,percent_2014_change_y,percent_2015_change_y,percent_2016_change_y,percent_2017_change_y,percent_2018_change_y
0,0,1507,MA,Worcester County,42.110889,-72.003899,1,308,93963.0,0,0,3636,1507,Massachusetts,296200.0,296200.0,296200.0,296200.0,296200.0,296200.0,296200.0,271600.0,272400.0,276000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08305199189736667,0.002945508100147265,0.013215859030837107,0,MA,Worcester County,42.15,-71.52,0,1886.0,66547,1757,25.006787851042922,2047,1757,Massachusetts,211000.0,211000.0,211000.0,211000.0,238300.0,258900.0,264300.0,271000.0,286800.0,290300.0,0.0,0.0,0.0,0.12938388625592426,0.08644565673520765,0.02085747392815751,0.025349981082103627,0.058302583025830364,0.01220362622036264
1,1,1930,MA,Essex County,42.628192999999996,-70.649399,1,1099,61449.0,0,0,1407,1930,Massachusetts,351800.0,351800.0,351800.0,351800.0,350700.0,348300.0,345700.0,342100.0,362900.0,378900.0,0.0,0.0,0.0,-0.003126776577600965,-0.006843455945252375,-0.007464829170255482,-0.01041365345675438,0.060800935399006224,0.044089280793607084,1,MA,Suffolk County,42.4,-71.03,0,15907.0,47291,2150,25.016265650353173,1584,2150,Massachusetts,216900.0,216900.0,216900.0,216900.0,216900.0,216900.0,241200.0,261700.0,317400.0,341500.0,0.0,0.0,0.0,0.0,0.0,0.11203319502074692,0.08499170812603651,0.2128391287734046,0.0759294265910524
2,3,2066,MA,Plymouth County,42.175090999999995,-70.7285,1,1043,100833.0,0,0,3112,2066,Massachusetts,437500.0,421300.0,428600.0,421400.0,430400.0,430700.0,440400.0,476800.0,496700.0,498700.0,-0.03702857142857141,0.017327320199382882,-0.016798880074661682,0.0213573801613669,0.0006970260223049253,0.02252147666589277,0.08265213442325159,0.04173657718120816,0.004026575397624299,2,MA,Essex County,42.47,-71.01,0,2468.0,76339,1906,24.944372366520586,2273,1906,Massachusetts,239500.0,239500.0,239500.0,280100.0,291700.0,323500.0,322400.0,337600.0,366900.0,404600.0,0.0,0.0,0.1695198329853862,0.041413780792574066,0.1090161124442921,-0.0034003091190107915,0.04714640198511155,0.08678909952606627,0.10275279367675116
3,4,2122,MA,Suffolk County,42.304691,-71.0541,1,11554,50192.0,0,0,2785,2122,Massachusetts,314800.0,314800.0,314800.0,314800.0,314800.0,314800.0,314800.0,314800.0,395800.0,385000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2573062261753494,-0.0272865083375442,3,MA,Plymouth County,42.05,-70.71,0,634.0,118272,2332,24.92137871918727,3537,2332,Massachusetts,492100.0,492100.0,492100.0,492100.0,492100.0,492100.0,492100.0,585900.0,585100.0,617600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19061166429587484,-0.0013654207202594693,0.05554606050247824
4,9,2360,MA,Plymouth County,41.925491,-70.644302,1,589,76565.0,0,0,169,2360,Massachusetts,255200.0,282000.0,279700.0,242500.0,244200.0,283700.0,319100.0,326100.0,318900.0,346400.0,0.10501567398119116,-0.008156028368794366,-0.13299964247407936,0.007010309278350446,0.16175266175266168,0.12477969686288334,0.02193669696020062,-0.022079116835326595,0.08623392913138916,4,MA,Bristol County,41.64,-70.94,0,7579.0,34259,2740,24.93040401793684,918,2740,Massachusetts,126200.0,126200.0,126200.0,126200.0,125200.0,151400.0,159700.0,151200.0,210000.0,183500.0,0.0,0.0,0.0,-0.007923930269413626,0.20926517571884995,0.05482166446499348,-0.05322479649342515,0.3888888888888888,-0.1261904761904762
5,21,55068,MN,Dakota County,44.728297999999995,-93.048073,1,642,85602.0,0,0,2229,55068,Minnesota,178200.0,178200.0,178200.0,190400.0,192400.0,204100.0,230500.0,225600.0,226300.0,250500.0,0.0,0.0,0.06846240179573515,0.010504201680672232,0.06081081081081075,0.12934835864772176,-0.021258134490238608,0.00310283687943258,0.10693769332744152,5,MN,Hennepin County,44.92,-93.48,0,1859.0,89936,55345,25.01545625358952,2743,55345,Minnesota,310500.0,310500.0,310500.0,310500.0,310500.0,310500.0,310600.0,313000.0,336000.0,376400.0,0.0,0.0,0.0,0.0,0.0,0.00032206119162636604,0.007726980038634813,0.07348242811501593,0.12023809523809526
6,22,55109,MN,Ramsey County,45.011433000000004,-92.99838299999999,1,2686,51782.0,0,0,1499,55109,Minnesota,185100.0,173000.0,157900.0,152400.0,141100.0,174900.0,194300.0,183500.0,204900.0,213400.0,-0.0653700702323069,-0.08728323699421969,-0.03483217226092461,-0.0741469816272966,0.2395464209780298,0.11092052601486556,-0.05558414822439528,0.1166212534059945,0.041483650561249474,6,MN,Anoka County,45.3,-93.3,0,665.0,91222,55304,24.784590701736768,946,55304,Minnesota,272200.0,272200.0,272200.0,272200.0,272200.0,272200.0,272200.0,248600.0,263900.0,266000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08670095518001475,0.06154465004022525,0.007957559681697646
7,23,55316,MN,Anoka County,45.22728,-93.38369,1,2827,84768.0,0,0,2757,55316,Minnesota,188800.0,188800.0,188800.0,188800.0,188800.0,188800.0,185200.0,197100.0,226600.0,241400.0,0.0,0.0,0.0,0.0,0.0,-0.01906779661016944,0.06425485961123112,0.1496702181633689,0.06531332744924967,7,MN,Hennepin County,44.9,-93.6,0,1172.0,108911,55331,24.956639564029583,3120,55331,Minnesota,383400.0,383400.0,383400.0,383400.0,383400.0,383000.0,420000.0,490700.0,521700.0,480100.0,0.0,0.0,0.0,0.0,-0.001043296817944683,0.0966057441253263,0.16833333333333322,0.06317505604238849,-0.07973931378186694
8,25,55369,MN,Hennepin County,45.09507,-93.435242,1,1357,78965.0,0,0,1174,55369,Minnesota,207800.0,207800.0,207800.0,207800.0,207800.0,207800.0,193200.0,224700.0,220100.0,247100.0,0.0,0.0,0.0,0.0,0.0,-0.0702598652550529,0.16304347826086962,-0.02047174009790831,0.12267151294865974,8,MN,Dakota County,44.8,-93.14,0,2369.0,103829,55123,24.995527718598705,2515,55123,Minnesota,217500.0,217500.0,217500.0,240000.0,291900.0,266800.0,283400.0,290600.0,300900.0,305700.0,0.0,0.0,0.10344827586206896,0.21625000000000005,-0.08598835217540257,0.06221889055472274,0.025405786873676783,0.035443909153475506,0.0159521435692922
9,26,55379,MN,Scott County,44.736092,-93.48299399999999,1,686,79592.0,0,0,965,55379,Minnesota,198700.0,198700.0,198700.0,198700.0,179900.0,196900.0,230400.0,205600.0,234100.0,230400.0,0.0,0.0,0.0,-0.09461499748364366,0.09449694274597008,0.17013712544438794,-0.10763888888888884,0.1386186770428015,-0.0158052114480991,9,MN,Ramsey County,45.01,-93.16,0,2613.0,61113,55113,24.683180756912666,573,55113,Minnesota,225900.0,196400.0,175500.0,167100.0,198400.0,215000.0,219800.0,220400.0,235300.0,237100.0,-0.130588756086764,-0.10641547861507128,-0.04786324786324792,0.18731298623578696,0.08366935483870974,0.022325581395348904,0.0027297543221109772,0.0676043557168784,0.007649808754781162
10,27,91739,CA,San Bernardino County,34.084896,-117.52638999999999,1,1184,103203.0,0,0,1858,91739,California,419400.0,415600.0,415800.0,364400.0,416300.0,515800.0,491200.0,550000.0,624700.0,642000.0,-0.009060562708631427,0.0004812319538016752,-0.12361712361712365,0.14242590559824375,0.23901032908959885,-0.04769290422644434,0.11970684039087942,0.13581818181818184,0.027693292780534676,10,CA,Orange County,33.81,-117.81,0,5608.0,79650,92867,24.987317476547148,1523,92867,California,437500.0,497400.0,503800.0,437200.0,511800.0,606500.0,623000.0,621300.0,677900.0,713100.0,0.13691428571428574,0.012866907921190274,-0.13219531560142914,0.17063129002744734,0.18503321610003895,0.0272052761747732,-0.0027287319422151235,0.09109930790278442,0.051925062693612516
11,28,92220,CA,Riverside County,33.917194,-116.81508600000001,2,255,39291.0,0,0,1750,92220,California,115600.0,115600.0,118700.0,118000.0,146600.0,160400.0,178600.0,207900.0,225900.0,249300.0,0.0,0.02681660899653981,-0.005897219882055604,0.2423728813559323,0.09413369713506148,0.11346633416458853,0.16405375139977596,0.08658008658008652,0.10358565737051784,11,CA,Riverside County,33.92,-117.25,0,7277.0,42825,92553,24.990864134375514,443,92553,California,115400.0,127100.0,131700.0,128500.0,147900.0,199100.0,220700.0,241600.0,257800.0,281600.0,0.10138648180242638,0.03619197482297398,-0.02429764616552776,0.1509727626459143,0.3461798512508452,0.108488196885987,0.0946986859990937,0.06705298013245042,0.0923196276183087
12,30,92240,CA,Riverside County,33.919495,-116.57328799999999,33,949,33682.0,0,0,1436,92240,California,118300.0,118300.0,118300.0,118300.0,118300.0,130100.0,147600.0,157100.0,181700.0,205100.0,0.0,0.0,0.0,0.0,0.0997464074387151,0.13451191391237516,0.06436314363143625,0.15658816040738374,0.12878370941111728,12,CA,Riverside County,33.7,-116.23,0,2729.0,41335,92201,24.87833362508385,412,92201,California,150500.0,155300.0,140500.0,140200.0,167300.0,204200.0,215600.0,244500.0,261900.0,274800.0,0.031893687707641234,-0.09529942047649707,-0.002135231316725994,0.19329529243937227,0.2205618649133294,0.0558276199804113,0.13404452690166968,0.07116564417177917,0.049255441008018375
13,31,92262,CA,Riverside County,33.889694,-116.57678999999999,145,714,46515.0,0,0,1226,92262,California,209100.0,209100.0,209100.0,209100.0,258900.0,307800.0,320000.0,362100.0,361100.0,368600.0,0.0,0.0,0.0,0.2381635581061694,0.18887601390498251,0.039636127355425536,0.13156250000000005,-0.002761668047500665,0.020769869842149014,13,CA,Riverside County,33.9,-117.0,0,1005.0,65692,92223,24.334719987709203,550,92223,California,220600.0,203800.0,180800.0,171100.0,191500.0,239400.0,247200.0,269900.0,291100.0,316300.0,-0.07615593834995471,-0.11285574092247296,-0.053650442477876086,0.11922852133255413,0.250130548302872,0.03258145363408516,0.09182847896440127,0.07854761022600965,0.08656818962555812
14,35,92395,CA,San Bernardino County,34.557693,-117.35829199999999,1,2479,38084.0,0,0,1100,92395,California,101600.0,111300.0,102100.0,103200.0,125300.0,153600.0,167700.0,199600.0,206700.0,234000.0,0.09547244094488194,-0.08265947888589398,0.010773751224289807,0.21414728682170536,0.22585794094173986,0.091796875,0.1902206320810973,0.035571142284569035,0.13207547169811318,14,CA,San Bernardino County,34.2,-117.4,0,901.0,51471,92407,24.77009796797049,645,92407,California,124300.0,124300.0,146100.0,128300.0,173900.0,211000.0,242400.0,253300.0,287800.0,334600.0,0.0,0.17538213998390995,-0.12183436002737845,0.3554169914263445,0.21334100057504315,0.14881516587677734,0.04496699669966997,0.1362021318594553,0.1626129256428075
15,36,93534,CA,Los Angeles County,34.691982,-118.22159599999999,1,2215,35892.0,0,0,1077,93534,California,78800.0,91700.0,95400.0,92600.0,114200.0,134500.0,144100.0,155900.0,196600.0,229400.0,0.16370558375634525,0.04034896401308608,-0.029350104821802888,0.2332613390928726,0.17775831873905434,0.07137546468401479,0.08188757807078417,0.2610647851186658,0.16683621566632767,15,CA,Los Angeles County,34.4,-118.0,0,220.0,56279,93543,23.765706131421148,3715,93543,California,149200.0,112700.0,109300.0,103800.0,114400.0,156000.0,172200.0,181600.0,231500.0,271500.0,-0.24463806970509386,-0.03016858917480036,-0.05032021957914001,0.10211946050096343,0.3636363636363635,0.10384615384615392,0.054587688734030186,0.27477973568281944,0.17278617710583144
16,39,94502,CA,Alameda County,37.732440999999994,-122.25177,6,5074,105616.0,0,0,3573,94502,California,450300.0,450300.0,450300.0,450300.0,551400.0,601300.0,610300.0,910300.0,858000.0,918700.0,0.0,0.0,0.0,0.2245169886742171,0.09049691693870154,0.014967570264426966,0.4915615271178109,-0.057453586729649626,0.07074592074592068,16,CA,Alameda County,37.52,-121.9,0,1968.0,143949,94539,24.22741221540189,866,94539,California,812600.0,857500.0,825400.0,772200.0,932300.0,972500.0,1201400.0,1308100.0,1331400.0,1481800.0,0.05525473787841495,-0.03743440233236151,-0.06445359825539132,0.20732970732970732,0.043119167649898094,0.2353727506426735,0.08881305143998675,0.01781209387661486,0.1129637975063842
17,40,94551,CA,Contra Costa County,37.802994,-121.653885,38,467,95716.0,0,0,1155,94551,California,350800.0,381100.0,341400.0,330300.0,397800.0,506500.0,553500.0,598000.0,634400.0,718200.0,0.08637400228050174,-0.10417213329834683,-0.032513181019332205,0.2043596730245232,0.27325289089994964,0.09279368213228034,0.08039747064137304,0.0608695652173914,0.13209331651954592,17,CA,San Joaquin County,38.03,-121.3,0,5892.0,40182,95210,24.87951056280385,1920,95210,California,92100.0,99300.0,101800.0,109900.0,104600.0,142300.0,158200.0,185600.0,212800.0,257400.0,0.07817589576547235,0.025176233635448183,0.0795677799607073,-0.048225659690627865,0.3604206500956022,0.11173576950105413,0.17319848293299622,0.14655172413793105,0.20958646616541346
18,43,95377,CA,Alameda County,37.699894,-121.59738899999999,1400,286,98072.0,0,0,2767,95377,California,248500.0,275500.0,267300.0,269000.0,306600.0,393800.0,402800.0,432700.0,461100.0,508000.0,0.10865191146881292,-0.029764065335753157,0.006359895248784221,0.13977695167286242,0.284409654272668,0.022854240731335684,0.07423038728897713,0.06563438872197835,0.1017132942962482,18,CA,San Joaquin County,38.03,-121.42,0,490.0,73911,95219,24.746744455892525,2183,95219,California,203100.0,203100.0,203100.0,203100.0,193000.0,280000.0,303700.0,325200.0,341700.0,381900.0,0.0,0.0,0.0,-0.04972919743968485,0.4507772020725389,0.08464285714285724,0.07079354626275935,0.050738007380073835,0.11764705882352945
19,44,95391,CA,Alameda County,37.759995,-121.577583,84,419,99764.0,0,0,3582,95391,California,323700.0,320700.0,308500.0,305700.0,352000.0,438900.0,424100.0,503800.0,503500.0,588200.0,-0.009267840593141785,-0.03804178359837851,-0.009076175040518608,0.1514556754988552,0.246875,-0.033720665299612713,0.1879273756189579,-0.0005954743946010588,0.16822244289970212,19,CA,Alameda County,37.4,-121.6,0,202.0,102413,94550,24.857554581794986,665,94550,California,413500.0,424400.0,438500.0,425800.0,495000.0,616900.0,651800.0,716500.0,723900.0,828800.0,0.02636033857315589,0.0332233741753063,-0.02896237172177885,0.16251761390324093,0.24626262626262616,0.056573188523261424,0.09926357778459648,0.01032798325191897,0.14490951788921125
