,wf_zipcode,state,county,latitude,longitude,windmills_count,pop_density,med_household_income,zipcode_withno_wf,distance_from_wfzipcode,Unnamed: 0,ZipCode,StateName,2009-01,2010-01,2011-01,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,percent_2010_change,percent_2011_change,percent_2012_change,percent_2013_change,percent_2014_change,percent_2015_change,percent_2016_change,percent_2017_change,percent_2018_change
0,1507,MA,Worcester County,42.15,-71.52,0,1886.0,66547,1757,25.00678785104292,2047,1757,Massachusetts,211000.0,211000.0,211000.0,211000.0,238300.0,258900.0,264300.0,271000.0,286800.0,290300.0,0.0,0.0,0.0,0.12938388625592423,0.08644565673520765,0.02085747392815751,0.025349981082103623,0.05830258302583036,0.01220362622036264
1,1930,MA,Suffolk County,42.4,-71.03,0,15907.0,47291,2150,25.016265650353166,1584,2150,Massachusetts,216900.0,216900.0,216900.0,216900.0,216900.0,216900.0,241200.0,261700.0,317400.0,341500.0,0.0,0.0,0.0,0.0,0.0,0.11203319502074693,0.08499170812603651,0.2128391287734046,0.0759294265910524
2,2066,MA,Essex County,42.47,-71.01,0,2468.0,76339,1906,24.944372366520586,2273,1906,Massachusetts,239500.0,239500.0,239500.0,280100.0,291700.0,323500.0,322400.0,337600.0,366900.0,404600.0,0.0,0.0,0.1695198329853862,0.04141378079257407,0.1090161124442921,-0.0034003091190107915,0.04714640198511155,0.08678909952606628,0.10275279367675116
3,2122,MA,Plymouth County,42.05,-70.71,0,634.0,118272,2332,24.92137871918727,3537,2332,Massachusetts,492100.0,492100.0,492100.0,492100.0,492100.0,492100.0,492100.0,585900.0,585100.0,617600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19061166429587484,-0.0013654207202594693,0.055546060502478234
4,2360,MA,Bristol County,41.64,-70.94,0,7579.0,34259,2740,24.930404017936837,918,2740,Massachusetts,126200.0,126200.0,126200.0,126200.0,125200.0,151400.0,159700.0,151200.0,210000.0,183500.0,0.0,0.0,0.0,-0.007923930269413626,0.20926517571884995,0.05482166446499348,-0.05322479649342515,0.38888888888888884,-0.1261904761904762
5,55068,MN,Hennepin County,44.92,-93.48,0,1859.0,89936,55345,25.015456253589516,2743,55345,Minnesota,310500.0,310500.0,310500.0,310500.0,310500.0,310500.0,310600.0,313000.0,336000.0,376400.0,0.0,0.0,0.0,0.0,0.0,0.00032206119162636604,0.007726980038634812,0.07348242811501593,0.12023809523809526
6,55109,MN,Anoka County,45.3,-93.3,0,665.0,91222,55304,24.78459070173677,946,55304,Minnesota,272200.0,272200.0,272200.0,272200.0,272200.0,272200.0,272200.0,248600.0,263900.0,266000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08670095518001475,0.061544650040225246,0.007957559681697646
7,55316,MN,Hennepin County,44.9,-93.6,0,1172.0,108911,55331,24.956639564029583,3120,55331,Minnesota,383400.0,383400.0,383400.0,383400.0,383400.0,383000.0,420000.0,490700.0,521700.0,480100.0,0.0,0.0,0.0,0.0,-0.0010432968179446833,0.0966057441253263,0.16833333333333322,0.06317505604238849,-0.07973931378186694
8,55369,MN,Dakota County,44.8,-93.14,0,2369.0,103829,55123,24.995527718598705,2515,55123,Minnesota,217500.0,217500.0,217500.0,240000.0,291900.0,266800.0,283400.0,290600.0,300900.0,305700.0,0.0,0.0,0.10344827586206895,0.21625000000000005,-0.08598835217540257,0.06221889055472274,0.025405786873676783,0.035443909153475506,0.0159521435692922
9,55379,MN,Ramsey County,45.01,-93.16,0,2613.0,61113,55113,24.683180756912666,573,55113,Minnesota,225900.0,196400.0,175500.0,167100.0,198400.0,215000.0,219800.0,220400.0,235300.0,237100.0,-0.130588756086764,-0.10641547861507128,-0.047863247863247915,0.18731298623578696,0.08366935483870974,0.022325581395348904,0.0027297543221109777,0.0676043557168784,0.007649808754781162
10,91739,CA,Orange County,33.81,-117.81,0,5608.0,79650,92867,24.987317476547144,1523,92867,California,437500.0,497400.0,503800.0,437200.0,511800.0,606500.0,623000.0,621300.0,677900.0,713100.0,0.13691428571428577,0.012866907921190274,-0.13219531560142916,0.17063129002744737,0.18503321610003898,0.027205276174773196,-0.0027287319422151235,0.09109930790278442,0.05192506269361252
11,92220,CA,Riverside County,33.92,-117.25,0,7277.0,42825,92553,24.990864134375514,443,92553,California,115400.0,127100.0,131700.0,128500.0,147900.0,199100.0,220700.0,241600.0,257800.0,281600.0,0.10138648180242638,0.03619197482297398,-0.024297646165527764,0.1509727626459143,0.34617985125084516,0.10848819688598699,0.0946986859990937,0.06705298013245042,0.0923196276183087
12,92240,CA,Riverside County,33.7,-116.23,0,2729.0,41335,92201,24.878333625083847,412,92201,California,150500.0,155300.0,140500.0,140200.0,167300.0,204200.0,215600.0,244500.0,261900.0,274800.0,0.03189368770764123,-0.09529942047649709,-0.002135231316725994,0.19329529243937227,0.2205618649133294,0.0558276199804113,0.13404452690166968,0.07116564417177917,0.049255441008018375
13,92262,CA,Riverside County,33.9,-117.0,0,1005.0,65692,92223,24.334719987709203,550,92223,California,220600.0,203800.0,180800.0,171100.0,191500.0,239400.0,247200.0,269900.0,291100.0,316300.0,-0.07615593834995471,-0.11285574092247297,-0.05365044247787609,0.11922852133255413,0.25013054830287196,0.032581453634085156,0.09182847896440127,0.07854761022600965,0.08656818962555812
14,92395,CA,San Bernardino County,34.2,-117.4,0,901.0,51471,92407,24.77009796797049,645,92407,California,124300.0,124300.0,146100.0,128300.0,173900.0,211000.0,242400.0,253300.0,287800.0,334600.0,0.0,0.17538213998390995,-0.12183436002737846,0.35541699142634453,0.21334100057504313,0.14881516587677734,0.04496699669966997,0.1362021318594553,0.1626129256428075
15,93534,CA,Los Angeles County,34.4,-118.0,0,220.0,56279,93543,23.765706131421148,3715,93543,California,149200.0,112700.0,109300.0,103800.0,114400.0,156000.0,172200.0,181600.0,231500.0,271500.0,-0.24463806970509383,-0.030168589174800364,-0.05032021957914001,0.10211946050096343,0.36363636363636354,0.10384615384615392,0.05458768873403019,0.27477973568281944,0.17278617710583144
16,94502,CA,Alameda County,37.52,-121.9,0,1968.0,143949,94539,24.227412215401888,866,94539,California,812600.0,857500.0,825400.0,772200.0,932300.0,972500.0,1201400.0,1308100.0,1331400.0,1481800.0,0.05525473787841495,-0.037434402332361505,-0.06445359825539132,0.20732970732970735,0.043119167649898094,0.2353727506426735,0.08881305143998675,0.017812093876614865,0.11296379750638419
17,94551,CA,San Joaquin County,38.03,-121.3,0,5892.0,40182,95210,24.87951056280385,1920,95210,California,92100.0,99300.0,101800.0,109900.0,104600.0,142300.0,158200.0,185600.0,212800.0,257400.0,0.07817589576547235,0.025176233635448186,0.0795677799607073,-0.048225659690627865,0.3604206500956022,0.11173576950105413,0.17319848293299622,0.14655172413793105,0.20958646616541343
18,95377,CA,San Joaquin County,38.03,-121.42,0,490.0,73911,95219,24.746744455892525,2183,95219,California,203100.0,203100.0,203100.0,203100.0,193000.0,280000.0,303700.0,325200.0,341700.0,381900.0,0.0,0.0,0.0,-0.04972919743968485,0.4507772020725389,0.08464285714285724,0.07079354626275935,0.050738007380073835,0.11764705882352944
19,95391,CA,Alameda County,37.4,-121.6,0,202.0,102413,94550,24.85755458179499,665,94550,California,413500.0,424400.0,438500.0,425800.0,495000.0,616900.0,651800.0,716500.0,723900.0,828800.0,0.026360338573155895,0.0332233741753063,-0.028962371721778846,0.16251761390324093,0.24626262626262618,0.05657318852326143,0.09926357778459649,0.01032798325191897,0.14490951788921125
